bank_code,name_th,name_en,short_name
001,ธนาคารแห่งประเทศไทย,Bank of Thailand,BOT
002,ธนาคารกรุงเทพ จำกัด (มหาชน),Bangkok Bank Public Company Limited,BBL
004,ธนาคารกสิกรไทย จำกัด (มหาชน),Kasikornbank Public Company Limited,KBANK
005,ธนาคารเอบีเอ็น แอมโร เอ็น.วี.,ABN-AMRO Bank N.V. Bangkok Branch,AMRO
006,ธนาคารกรุงไทย จำกัด (มหาชน),Krung Thai Bank Public Company Limited,KTB
008,ธนาคารเจพี มอร์แกน เชส สาขากรุงเทพฯ,"JP Morgan Chase Bank, N.A Bangkok Branch",JPMC
010,ธนาคารแห่งโตเกียว-มิตซูบิชิ จก. กรุงเทพฯ,The Bank of Tokyo-Mitsubishi Ltd. Bangkok Branch,BTMU
011,ธนาคารทหารไทย จำกัด (มหาชน),TMB Bank Public Company Limited,TMB
014,ธนาคารไทยพาณิชย์ จำกัด (มหาชน),Siam Commercial Bank Public Company Limited,SCB
015,ธนาคารนครหลวงไทย จำกัด (มหาชน),Siam City Bank Public Company Limited,SCIB
017,ธนาคารซิตีแบงค์,Citibank N.A.,CITI
018,ธนาคารซูมิโตโม มิตซุย แบงกิ้งคอร์ปอเรชั่น,Sumitomo Mitsui Banking Corporation,SMBC
020,ธนาคารสแตนดาร์ด ชาร์เตอร์ด (ไทย) จำกัด,Standard Chartered Bank (Thai) Public Company Limited,SCBT
022,ธนาคารไทยธนาคาร จำกัด (มหาชน),BANKTHAI Public Company Limited,UOBT
024,ธนาคารยูไนเต็ด โอเวอร์ซีส์ (ไทย) จำกัด (มหาชน),United Overseas Bank (Thai) PCL,UOBT
025,ธนาคารกรุงศรีอยุธยา จำกัด (มหาชน),Bank of Ayudhya Public Company Limited,BAY
026,ธนาคารเมกะ สากลพาณิชย์ จำกัด (มหาชน),Mega International Commercial Bank PCL,MEGA ICBC
027,ธนาคารแห่งอเมริกา เนชั่นแนล แอสโซซิเอชั่น,Bank of America National Association,BA
028,ธนาคารคาลิยง,Calyon,CALYON
030,ธนาคารออมสิน,Movement Saving Bank,GOV
031,ธนาคารฮ่องกงและเซี่ยงไฮ้ จำกัด,Hong Kong & Shanghai Corporation Limited,HSBC
032,ธนาคารดอยซ์แบงก์,Deutsche Bank Aktiengesellschaft,DEUTSCHE
033,ธนาคารอาคารสงเคราะห์,Government Housing Bank,GHB
034,ธนาคารเพื่อการเกษตรและสหกรณ์การเกษตร,Bank for Agriculture and Agricultural Cooperatives,AGRI
039,ธนาคารมิซูโฮ คอร์เปอเรท สาขากรุงเทพฯ,Mizuho Corporate Bank Limited,MHCB
065,ธนาคารธนชาต จำกัด (มหาชน),Mizuho Corporate Bank Limited,TBANK
066,ธนาคารอิสลามแห่งประเทศไทย,Thanachart Bank Public Company Limited,ISBT
067,ธนาคารทิสโก้ จำกัด (มหาชน),Tisco Bank Public Company Limited,TISCO
068,ธนาคารเอไอจี เพื่อรายย่อย จำกัด (มหาชน),AIG Retail Bank Public Company Limited,AIG
069,ธนาคารเกียรตินาคิน จำกัด (มหาชน),Kiatnakin Bank Public Company Limited,KK
070,ธนาคารสินเอเชีย จำกัด (มหาชน),ACL Bank Public Company Limited,ACL
071,ธนาคารไทยเครดิตเพื่อรายย่อย จำกัด (มหาชน),The Thai Credit Retail Bank Public Company Limited,TCRB
073,ธนาคารแลนด์ แอนด์ เฮ้าส์ จำกัด (มหาชน),Land and Houses Bank Public Company Limited,LHBANK
